Барабаны для рукавов высокого и низкого давления производства Ramex S.r.L. (Италия),,,
Барабаны из нержавеющей стали с ИНЕРЦИОННЫМ МЕХАНИЗМОМ,,,
AV 2200 FE,Барабан окрашенный для рукава длиной 20 м 1/2”,,328
AV 3000 FE,Барабан окрашенный для рукава длиной 25 м 1/2”,,632
AV 4000 FE,Барабан окрашенный для рукава длиной 40 м 3/8”,,669
AV 4500 FE,Барабан окрашенный для рукава длиной 40 м 1/2”,,705
ST 20 FE,Кронштейн поворотный окрашенный для барабана AV 2200 FE - AV 2201 FE,,75
ST 22 FE,Кронштейн поворотный окрашенный для барабана AV 2300 FE,,106
ST 30 FE,Кронштейн поворотный окрашенный для барабана AV 3000 FE,,106
Барабаны напольные стальные окрашенные с автоматическим укладчиком с ИНЕРЦИОННЫМ МЕХАНИЗМОМ,,,
AV 6001 FE,Барабан окрашенный для рукава длиной 40 м 3/4” или 30 м 1”,,1052
AV 6000 FE,Барабан окрашенный для рукава длиной 60 м 1/2”,,1095
Барабаны из окрашенной стали в кожухе с ИНЕРЦИОННЫМ МЕХАНИЗМОМ,,,
AVC 3020 FE,"Барабан окрашенный в корпусе для рукава длиной 20 м 1/2""",,384
AVC 3015 FE,"Барабан окрашенный в корпусе для рукава длиной 15 м 1/2""",,316
ST 25 FE,Кронштейн поворотный окрашенный для барабана AVC 3020 FE,,89
ST 26 FE,Кронштейн поворотный окрашенный для барабана AVC 3015 FE,,89
Барабаны из окрашенной стали с ручной намоткой,,,
AVM 9814FE,Барабан усиленный для рукава 15 м 3/4” или 10 м 1”,,285
AVM 9815FE,Барабан усиленный для рукава 20 м 3/4” или 15 м 1”,,292
AVM 9816FE,Барабан усиленный для рукава 25 м 3/4” или 20 м 1”,,332
AVM 9817FE,Барабан усиленный для рукава 30 м 3/4” или 25 м 1”,,355
AVM 9810FE,Барабан усиленный для рукава 35 м 3/8” или 25 м 1/2”,,260
AVM 9811FE,Барабан усиленный для рукава 50 м 3/8” или 35 м 1/2”,,285
AVM 9812FE,Барабан усиленный для рукава 60 м 3/8” или 43 м 1/2”,,309
AVM 9813FE,Барабан усиленный для рукава 70 м 3/8” или 50 м 1/2”,,320
AVM 9919FE,Барабан усиленный для рукава 60 м 3/8” или 50 м 1/2”,,334
AVM 9921FE,Барабан усиленный для рукава 100 м 3/8” или 80 м 1/2”,,360
Барабаны для гофрированных рукавов напольные из окрашенной стали для пылеводососов,,,
AVM 9919FE special,Барабан усиленный для рукава 60 м 3/8” или 50 м 1/2”,,334
AVM 9921FE special,Барабан усиленный для рукава 100 м 3/8” или 80 м 1/2”,,360
AV 2050,Барабан окрашенный для пылеводососа,,1425
Барабан окрашенный напольный,,,
29.0380.50 BO,"Барабан 250 бар, (под 50м РВД DN8)",,391
29.0380.10 BO,"Барабан 250 бар, (под 100м РВД DN8)",,402
