                             Аппараты высокого давления бытовые и полупрофессиональные без подогрева воды Соmeт! (Италия),,,,
25.1460.60,Наконечник для турбофрезы,Давление: max. 600 bar    Температура: max. 90-145 ° C,455,
25.1735.40,Наконечник для турбофрезы,Давление: max. 600 bar    Температура: max. 90-145 ° C,134,
16.1415.40,Форсунка (карбид фольфрам),Давление: max. 500 bar,202,
16.1415.50,Форсунка (карбид фольфрам),Давление: max. 500 bar,202,
26.0940.50,Быстроразъем резьбовой AR9,Давление: max. 600 bar    Температура: max. 160° C    Расход воды: max. 80 l/min,26,
26.0950.40,Быстроразъем резьбовой AR9,Давление: max. 600 bar    Температура: max. 160° C    Расход воды: max. 80 l/min,45,
13.5009.51,Переходник (нерж.сталь),Давление: max. 500 bar,15.6,
60.2600.00,Регулятор давления   VB60/400,Давление: max. 600 bar,533,
60.2650.00, Регулятор давления    VB60/400,Давление: max. 600 bar,492,
60.0650.00,Регулятор давления VS 660,Давление: max. 600 bar,450,
6080071,Педаль,Давление: max. 500 bar,728,
28.0430.00,Датчик расхода для регуляторов нулевого давления,Давление: max. 500 bar,47,
70735,Кран гидравлический 2-ходовой (нерж),Давление: max. 500 bar,130,
56149,Переходники,Давление: max. 500 bar,25,
56159,Переходники,Давление: max. 500 bar,25,
56169,Переходники,Давление: max. 500 bar,25,
56539,Переходники,Давление: max. 500 bar,13,
,Шланг высокого давления SPC 3 P=500,Давление: max. 500 bar,650,
Аксессуары Комета,,,,
21422.600.2503,"Курок + струйная трубка ""Комета""",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,39,
К021436-10,"Курок + струйная трубка ""Комета""",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,40,
000012223,"Пистолет ""Комета"" для АВД бытовой",Давление: 220 bar    Температура: 60°    Расход воды: 25 l/min,14.67,
000012238,"Пистолет ""Комета"" для АВД бытовой",Давление: 220 bar    Температура: 60°    Расход воды: 25 l/min,25.2,
К223238,"Пистолет ""Комета"" для АВД бытовой",Давление: 220 bar    Температура: 60°    Расход воды: 25 l/min,39,
К422424,"Пенокомплект ""Комета"" в сборе",Давление: 350 bar    Расход воды: 40 l/min    Температура: 160°,125,
К422425,"Пенный комплект ""Комета"" + переходники для профессионального",,110,
14.6502.00,"Бачок ""Комета"" к пенному набору",,1.54,
008081414,"Форсункодержатель + защита ""Комета""",,5,
008080014,"Форсункодержатель ""Комета"" для Керхер",,5.77,
45.100.34,"Фильтр для воды ""Комета"" подводящий",,12.5,
FFL - 3,"Сеточка ""Комета"" для пенного набора",,0.42,
01700018B,"Удлиняющая телескопическая насадка ""Комета"" высокого",Давление: max. 200 bar    Температура: 100° C    Расход воды: max. 21 l/min,12.87,
TPL-03SF(SS304),"Байонет и нипеля ""Комета""",Давление: 390 bar    Температура: 90°    Расход воды: 50 l/min,12.87,
